UNITID,EFFYDLEV,XEYDETOT,EFYDETOT,XEYDEEXC,EFYDEEXC,XEYDESOM,EFYDESOM,XEYDENON,EFYDENON
164085,12,R,1075,R,769,R,143,R,163
164155,1,R,4671,A,,A,,R,4671
164155,2,R,4671,A,,A,,R,4671
164155,3,R,4671,A,,A,,R,4671
164173,1,R,4050,R,1178,R,1458,R,1414
164173,2,R,3324,R,501,R,1456,R,1367
164173,3,R,3317,R,500,R,1456,R,1361
164173,11,R,7,R,1,R,0,R,6
164173,12,R,726,R,677,R,2,R,47
164216,1,R,958,Z,0,R,26,R,932
164216,2,R,958,Z,0,R,26,R,932
164216,3,R,908,Z,0,R,26,R,882
164216,11,R,50,Z,0,Z,0,R,50
164270,1,R,3548,R,1066,R,1243,R,1239
164270,2,R,1731,R,5,R,760,R,966
164270,3,R,1704,R,5,R,760,R,939
164270,11,R,27,R,0,R,0,R,27
164270,12,R,1817,R,1061,R,483,R,273
164313,1,R,3630,R,758,R,1457,R,1415
164313,2,R,3630,R,758,R,1457,R,1415
164313,3,R,2729,R,469,R,1289,R,971
164313,11,R,901,R,289,R,168,R,444
164368,1,R,3103,R,581,R,1684,R,838
164368,2,R,838,A,,A,,R,838
164368,3,R,838,A,,A,,R,838
164368,12,R,2265,R,581,R,1684,R,0
164447,1,R,2610,R,665,R,791,R,1154
164447,2,R,1511,R,10,R,616,R,885
164447,3,R,1169,R,10,R,616,R,543
164447,11,R,342,R,0,R,0,R,342
164447,12,R,1099,R,655,R,175,R,269
164465,1,R,2049,A,,A,,R,2049
164465,2,R,2049,A,,A,,R,2049
164465,3,R,2011,A,,A,,R,2011
164465,11,R,38,A,,A,,R,38
164492,1,R,1573,R,391,R,1086,R,96
164492,2,R,1112,R,196,R,850,R,66
164492,3,R,1041,R,196,R,845,R,0
164492,11,R,71,R,0,R,5,R,66
164492,12,R,461,R,195,R,236,R,30
164535,1,R,48,A,,A,,R,48
164535,2,R,48,A,,A,,R,48
164535,3,R,48,A,,A,,R,48
164562,1,R,2211,R,310,R,343,R,1558
164562,2,R,1766,R,13,R,280,R,1473
164562,3,R,1718,R,6,R,280,R,1432
164562,11,R,48,R,7,R,0,R,41
164562,12,R,445,R,297,R,63,R,85
164580,1,R,4645,R,496,R,1209,R,2940
164580,2,R,3272,R,189,R,710,R,2373
164580,3,R,2959,R,11,R,708,R,2240
164580,11,R,313,R,178,R,2,R,133
164580,12,R,1373,R,307,R,499,R,567
164599,1,R,66,A,,A,,R,66
164599,2,R,66,A,,A,,R,66
164599,3,R,66,A,,A,,R,66
164614,1,R,38,R,0,R,0,R,38
164614,2,R,38,R,0,R,0,R,38
164614,3,R,37,R,0,R,0,R,37
164614,11,R,1,R,0,R,0,R,1
164632,1,R,3629,R,1276,R,2310,R,43
164632,2,R,1593,R,406,R,1144,R,43
164632,3,R,1362,R,404,R,925,R,33
164632,11,R,231,R,2,R,219,R,10
164632,12,R,2036,R,870,R,1166,R,0
164739,1,R,5534,R,108,R,1062,R,4364
164739,2,R,4521,R,0,R,157,R,4364
164739,3,R,4419,R,0,R,157,R,4262
164739,11,R,102,R,0,R,0,R,102
164739,12,R,1013,R,108,R,905,R,0
164748,1,R,9705,R,2701,R,3348,R,3656
164748,2,R,8697,R,2235,R,3276,R,3186
164748,3,R,8555,R,2233,R,3261,R,3061
164748,11,R,142,R,2,R,15,R,125
164748,12,R,1008,R,466,R,72,R,470
164775,1,R,2174,R,537,R,806,R,831
164775,2,R,2174,R,537,R,806,R,831
164775,3,R,1504,R,332,R,735,R,437
164775,11,R,670,R,205,R,71,R,394
164872,1,R,1006,R,507,R,293,R,206
164872,2,R,443,R,186,R,149,R,108
164872,3,R,337,R,97,R,148,R,92
164872,11,R,106,R,89,R,1,R,16
164872,12,R,563,R,321,R,144,R,98
164915,1,R,187,R,3,R,44,R,140
164915,12,R,187,R,3,R,44,R,140
164924,1,R,16561,R,1046,R,2645,R,12870
164924,2,R,10548,R,246,R,1253,R,9049
164924,3,R,10107,R,153,R,1217,R,8737
164924,11,R,441,R,93,R,36,R,312
164924,12,R,6013,R,800,R,1392,R,3821
164988,1,R,45380,R,6665,R,4430,R,34285
164988,2,R,22856,R,353,R,1725,R,20778
164988,3,R,19346,R,106,R,1701,R,17539
164988,11,R,3510,R,247,R,24,R,3239
164988,12,R,22524,R,6312,R,2705,R,13507
165015,1,R,5803,R,488,R,2044,R,3271
165015,2,R,3942,R,82,R,1795,R,2065
165015,3,R,3863,R,46,R,1788,R,2029
165015,11,R,79,R,36,R,7,R,36
165015,12,R,1861,R,406,R,249,R,1206
165024,1,R,11506,R,2066,R,4708,R,4732
165024,2,R,9351,R,1174,R,4386,R,3791
165024,3,R,8536,R,872,R,4315,R,3349
165024,11,R,815,R,302,R,71,R,442
165024,12,R,2155,R,892,R,322,R,941
165033,1,R,8960,R,4670,R,2845,R,1445
165033,2,R,8960,R,4670,R,2845,R,1445
165033,3,R,6852,R,3188,R,2598,R,1066
165033,11,R,2108,R,1482,R,247,R,379
165060,1,R,177,A,,A,,R,177
165060,2,R,177,A,,A,,R,177
165060,3,R,177,A,,A,,R,177
165112,1,R,11868,R,4065,R,3844,R,3959
165112,2,R,11868,R,4065,R,3844,R,3959
165112,3,R,9549,R,3007,R,3643,R,2899
165112,11,R,2319,R,1058,R,201,R,1060
165167,1,R,3014,R,2050,R,498,R,466
165167,2,R,1189,R,1010,R,133,R,46
165167,3,R,761,R,630,R,131,R,0
165167,11,R,428,R,380,R,2,R,46
165167,12,R,1825,R,1040,R,365,R,420
165194,1,R,4173,R,1328,R,1573,R,1272
165194,2,R,4173,R,1328,R,1573,R,1272
165194,3,R,3012,R,643,R,1429,R,940
165194,11,R,1161,R,685,R,144,R,332
165255,1,R,340,A,,A,,R,340
165255,2,R,340,A,,A,,R,340
165255,3,R,340,A,,A,,R,340
165264,1,R,972,R,279,R,83,R,610
165264,2,R,972,R,279,R,83,R,610
165264,3,R,948,R,279,R,59,R,610
165264,11,R,24,R,0,R,24,R,0
165334,1,R,4611,R,138,R,1269,R,3204
165334,2,R,2466,R,16,R,72,R,2378
165334,3,R,2383,R,16,R,71,R,2296
165334,11,R,83,R,0,R,1,R,82
165334,12,R,2145,R,122,R,1197,R,826
165495,1,R,18,A,,A,,R,18
165495,12,R,18,A,,A,,R,18
165529,1,R,2320,R,311,R,504,R,1505
165529,2,R,2023,R,243,R,421,R,1359
165529,3,R,1964,R,220,R,413,R,1331
165529,11,R,59,R,23,R,8,R,28
165529,12,R,297,R,68,R,83,R,146
165574,1,R,1297,R,41,R,197,R,1059
165574,2,R,1297,R,41,R,197,R,1059
165574,3,R,1213,R,35,R,197,R,981
165574,11,R,84,R,6,R,0,R,78
165608,1,R,56,A,,A,,R,56
165608,2,R,56,A,,A,,R,56
165608,3,R,56,A,,A,,R,56
165635,1,R,321,A,,A,,R,321
165635,2,R,321,A,,A,,R,321
165635,3,R,321,A,,A,,R,321
165644,1,R,516,R,29,R,240,R,247
165644,2,R,407,R,20,R,213,R,174
165644,3,R,407,R,20,R,213,R,174
165644,12,R,109,R,9,R,27,R,73
165662,1,R,5988,R,631,R,1860,R,3497
165662,2,R,4301,Z,0,R,1186,R,3115
165662,3,R,4249,Z,0,R,1177,R,3072
165662,11,R,52,Z,0,R,9,R,43
165662,12,R,1687,R,631,R,674,R,382
165671,1,R,2231,R,170,R,260,R,1801
165671,2,R,2113,R,53,R,259,R,1801
165671,3,R,1918,R,46,R,254,R,1618
165671,11,R,195,R,7,R,5,R,183
165671,12,R,118,R,117,R,1,R,0
165699,1,R,5091,R,1510,R,1950,R,1631
165699,2,R,3545,R,237,R,1712,R,1596
165699,3,R,3340,R,148,R,1698,R,1494
165699,11,R,205,R,89,R,14,R,102
165699,12,R,1546,R,1273,R,238,R,35
165750,1,R,160,A,,A,,R,160
165750,2,R,160,A,,A,,R,160
165750,3,R,160,A,,A,,R,160
165802,1,R,2875,R,2012,R,357,R,506
165802,2,R,2700,R,1922,R,347,R,431
165802,3,R,1466,R,745,R,340,R,381
165802,11,R,1234,R,1177,R,7,R,50
165802,12,R,175,R,90,R,10,R,75
165820,1,R,9604,R,4546,R,2620,R,2438
165820,2,R,3825,R,682,R,1872,R,1271
165820,3,R,3146,R,503,R,1760,R,883
165820,11,R,679,R,179,R,112,R,388
165820,12,R,5779,R,3864,R,748,R,1167
165866,1,R,5888,R,2437,R,1955,R,1496
165866,2,R,3388,R,713,R,1628,R,1047
165866,3,R,2778,R,168,R,1613,R,997
165866,11,R,610,R,545,R,15,R,50
165866,12,R,2500,R,1724,R,327,R,449
165884,1,R,1040,R,238,R,302,R,500
165884,2,R,1040,R,238,R,302,R,500
165884,3,R,585,R,47,R,242,R,296
165884,11,R,455,R,191,R,60,R,204
165936,1,R,2063,R,352,R,707,R,1004
165936,2,R,1456,R,66,R,628,R,762
165936,3,R,1323,R,20,R,619,R,684
165936,11,R,133,R,46,R,9,R,78
165936,12,R,607,R,286,R,79,R,242
165945,1,R,1647,R,335,R,1101,R,211
165945,12,R,1647,R,335,R,1101,R,211
165981,1,R,2061,R,759,R,701,R,601
165981,2,R,2061,R,759,R,701,R,601
165981,3,R,1526,R,493,R,622,R,411
165981,11,R,535,R,266,R,79,R,190
166018,1,R,771,A,,A,,R,771
166018,2,R,771,A,,A,,R,771
166018,3,R,767,A,,A,,R,767
166018,11,R,4,A,,A,,R,4
166027,1,R,37558,R,12100,R,1771,R,23687
166027,2,R,12135,R,2526,R,534,R,9075
166027,3,R,8016,R,490,R,169,R,7357
166027,11,R,4119,R,2036,R,365,R,1718
166027,12,R,25423,R,9574,R,1237,R,14612
166045,1,R,193,R,12,R,0,R,181
166045,2,R,108,R,0,R,0,R,108
166045,11,R,108,R,0,R,0,R,108
166045,12,R,85,R,12,R,0,R,73
166054,1,R,240,R,93,R,94,R,53
166054,2,R,75,R,3,R,42,R,30
166054,3,R,60,R,1,R,37,R,22
166054,11,R,15,R,2,R,5,R,8
166054,12,R,165,R,90,R,52,R,23
166124,1,R,3310,A,,A,,R,3310
166124,2,R,3310,A,,A,,R,3310
166124,3,R,3290,A,,A,,R,3290
166124,11,R,20,A,,A,,R,20
166133,1,R,5109,R,1789,R,2011,R,1309
166133,2,R,5109,R,1789,R,2011,R,1309
166133,3,R,3996,R,1239,R,1862,R,895
166133,11,R,1113,R,550,R,149,R,414
166391,1,R,1894,R,512,R,1114,R,268
166391,2,R,1308,R,112,R,928,R,268
166391,3,R,1248,R,75,R,927,R,246
166391,11,R,60,R,37,R,1,R,22
166391,12,R,586,R,400,R,186,R,0
166407,1,R,254,A,,A,,R,254
166407,2,R,254,A,,A,,R,254
166407,3,R,254,A,,A,,R,254
166452,1,R,4431,R,1191,R,1562,R,1678
166452,2,R,1679,R,264,R,943,R,472
166452,3,R,1478,R,231,R,942,R,305
166452,11,R,201,R,33,R,1,R,167
166452,12,R,2752,R,927,R,619,R,1206
166489,1,R,334,R,50,R,0,R,284
166489,2,R,35,A,,A,,R,35
166489,3,R,35,A,,A,,R,35
166489,12,R,299,R,50,R,0,R,249
166498,1,R,94,A,,A,,R,94
166498,2,R,94,A,,A,,R,94
166498,3,R,94,A,,A,,R,94
166513,1,R,20418,R,7460,R,2058,R,10900
166513,2,R,14497,R,4008,R,1571,R,8918
166513,3,R,12970,R,2866,R,1532,R,8572
166513,11,R,1527,R,1142,R,39,R,346
166513,12,R,5921,R,3452,R,487,R,1982
166629,1,R,36745,R,6644,R,10161,R,19940
166629,2,R,27478,R,3038,R,8465,R,15975
166629,3,R,25255,R,1535,R,8445,R,15275
166629,11,R,2223,R,1503,R,20,R,700
166629,12,R,9267,R,3606,R,1696,R,3965
166638,1,R,17933,R,2022,R,6584,R,9327
166638,2,R,13718,R,757,R,5344,R,7617
166638,3,R,12772,R,632,R,5311,R,6829
166638,11,R,946,R,125,R,33,R,788
166638,12,R,4215,R,1265,R,1240,R,1710
166647,1,R,6971,R,3040,R,2170,R,1761
166647,2,R,6971,R,3040,R,2170,R,1761
166647,3,R,4359,R,1250,R,1948,R,1161
166647,11,R,2612,R,1790,R,222,R,600
166656,1,R,6764,R,1144,R,3605,R,2015
166656,2,R,3673,R,58,R,2687,R,928
166656,3,R,3634,R,55,R,2665,R,914
166656,11,R,39,R,3,R,22,R,14
166656,12,R,3091,R,1086,R,918,R,1087
166674,1,R,2213,R,98,R,1517,R,598
166674,2,R,2084,R,98,R,1460,R,526
166674,3,R,1916,R,74,R,1455,R,387
166674,11,R,168,R,24,R,5,R,139
166674,12,R,129,R,0,R,57,R,72
166683,1,R,12915,R,0,R,237,R,12678
166683,2,R,4788,A,,A,,R,4788
166683,3,R,4653,A,,A,,R,4653
166683,11,R,135,A,,A,,R,135
166683,12,R,8127,R,0,R,237,R,7890
166692,1,R,1397,R,97,R,195,R,1105
166692,2,R,1301,R,1,R,195,R,1105
166692,3,R,1292,Z,0,R,195,R,1097
166692,11,R,9,R,1,Z,0,R,8
166692,12,R,96,R,96,Z,0,R,0
166708,1,R,1448,R,53,R,70,R,1325
166708,12,R,1448,R,53,R,70,R,1325
166717,1,R,1143,R,104,R,163,R,876
166717,2,R,93,R,0,R,5,R,88
166717,3,R,44,R,0,R,5,R,39
166717,11,R,49,R,0,R,0,R,49
166717,12,R,1050,R,104,R,158,R,788
166805,1,R,106,A,,A,,R,106
166805,2,R,106,A,,A,,R,106
166805,3,R,106,A,,A,,R,106
166823,1,R,7905,R,3284,R,2807,R,1814
166823,2,R,7905,R,3284,R,2807,R,1814
166823,3,R,4947,R,1785,R,2298,R,864
166823,11,R,2958,R,1499,R,509,R,950
166850,1,R,6849,R,1875,R,2181,R,2793
166850,2,R,4621,R,347,R,1637,R,2637
166850,3,R,4245,R,191,R,1587,R,2467
166850,11,R,376,R,156,R,50,R,170
166850,12,R,2228,R,1528,R,544,R,156
166869,1,R,2226,R,796,R,1430,R,0
166869,2,R,774,R,520,R,254,R,0
166869,3,R,254,R,0,R,254,R,0
166869,11,R,520,R,520,R,0,R,0
166869,12,R,1452,R,276,R,1176,R,0
166887,1,R,11771,R,3870,R,2942,R,4959
166887,2,R,11771,R,3870,R,2942,R,4959
166887,3,R,6177,R,2392,R,2650,R,1135
166887,11,R,5594,R,1478,R,292,R,3824
166911,1,R,305,R,2,R,180,R,123
166911,2,R,305,R,2,R,180,R,123
166911,3,R,264,R,0,R,180,R,84
166911,11,R,41,R,2,R,0,R,39
166939,1,R,2688,R,243,R,65,R,2380
166939,2,R,2351,A,,A,,R,2351
166939,3,R,2339,A,,A,,R,2339
166939,11,R,12,A,,A,,R,12
166939,12,R,337,R,243,R,65,R,29
166957,1,R,4709,R,1425,R,1827,R,1457
166957,2,R,4709,R,1425,R,1827,R,1457
166957,3,R,3841,R,1239,R,1676,R,926
166957,11,R,868,R,186,R,151,R,531
167039,1,R,30,A,,A,,R,30
167039,2,R,30,A,,A,,R,30
167039,3,R,30,A,,A,,R,30
167057,1,R,826,R,0,R,115,R,711
167057,2,R,402,R,0,R,23,R,379
167057,3,R,377,R,0,R,23,R,354
167057,11,R,25,R,0,R,0,R,25
167057,12,R,424,R,0,R,92,R,332
167093,1,R,539,R,0,R,392,R,147
167093,12,R,539,R,0,R,392,R,147
167215,1,R,1123,R,0,R,493,R,630
167215,12,R,1123,R,0,R,493,R,630
167260,1,R,1526,R,432,R,300,R,794
167260,2,R,1223,R,130,R,300,R,793
167260,3,R,1198,R,130,R,300,R,768
167260,11,R,25,R,0,R,0,R,25
167260,12,R,303,R,302,R,0,R,1
167288,1,R,1292,R,57,R,494,R,741
167288,2,R,1095,R,38,R,408,R,649
167288,3,R,797,R,19,R,404,R,374
167288,11,R,298,R,19,R,4,R,275
167288,12,R,197,R,19,R,86,R,92
167297,1,R,162,A,,A,,R,162
167297,2,R,162,A,,A,,R,162
167297,3,R,162,A,,A,,R,162
167312,1,R,7570,R,1890,R,1586,R,4094
167312,2,R,7570,R,1890,R,1586,R,4094
167312,3,R,5057,R,1054,R,1509,R,2494
167312,11,R,2513,R,836,R,77,R,1600
167358,1,R,41654,R,1742,R,17570,R,22342
167358,2,R,23278,R,222,R,11475,R,11581
167358,3,R,23030,R,200,R,11458,R,11372
167358,11,R,248,R,22,R,17,R,209
167358,12,R,18376,R,1520,R,6095,R,10761
167376,1,R,6504,R,1771,R,2669,R,2064
167376,2,R,6504,R,1771,R,2669,R,2064
167376,3,R,4551,R,1202,R,2294,R,1055
167376,11,R,1953,R,569,R,375,R,1009
167394,1,R,1657,R,415,R,710,R,532
167394,2,R,1229,R,236,R,597,R,396
167394,3,R,1048,R,209,R,592,R,247
167394,11,R,181,R,27,R,5,R,149
167394,12,R,428,R,179,R,113,R,136
167525,1,R,4684,R,1542,R,2036,R,1106
167525,2,R,4684,R,1542,R,2036,R,1106
167525,3,R,2082,R,556,R,1351,R,175
167525,11,R,2602,R,986,R,685,R,931
167534,1,R,9511,R,2164,R,3018,R,4329
167534,2,R,9511,R,2164,R,3018,R,4329
167534,3,R,7083,R,1442,R,2862,R,2779
167534,11,R,2428,R,722,R,156,R,1550
167598,1,R,3675,R,2322,R,1040,R,313
167598,2,R,1399,R,344,R,835,R,220
167598,3,R,1239,R,301,R,818,R,120
167598,11,R,160,R,43,R,17,R,100
167598,12,R,2276,R,1978,R,205,R,93
167631,1,R,3344,R,0,R,2232,R,1112
167631,2,R,3344,R,0,R,2232,R,1112
167631,3,R,3163,R,0,R,2176,R,987
167631,11,R,181,R,0,R,56,R,125
167677,1,R,115,A,,A,,R,115
167677,2,R,24,A,,A,,R,24
167677,3,R,16,A,,A,,R,16
167677,11,R,8,A,,A,,R,8
167677,12,R,91,A,,A,,R,91
167729,1,R,7428,R,1174,R,4059,R,2195
167729,2,R,5679,R,547,R,3316,R,1816
167729,3,R,4730,R,342,R,3242,R,1146
167729,11,R,949,R,205,R,74,R,670
167729,12,R,1749,R,627,R,743,R,379
167783,1,R,5787,R,2839,R,1381,R,1567
167783,2,R,1836,R,223,R,566,R,1047
167783,3,R,1823,R,221,R,564,R,1038
167783,11,R,13,R,2,R,2,R,9
167783,12,R,3951,R,2616,R,815,R,520
167792,1,R,353,R,14,R,40,R,299
167792,2,R,353,R,14,R,40,R,299
167792,3,R,252,Z,0,R,40,R,212
167792,11,R,101,R,14,Z,0,R,87
167835,1,R,3194,R,0,R,232,R,2962
167835,2,R,2621,A,,A,,R,2621
167835,3,R,2606,A,,A,,R,2606
167835,11,R,15,A,,A,,R,15
167835,12,R,573,R,0,R,232,R,341
167871,1,R,267,A,,A,,R,267
167871,2,R,267,A,,A,,R,267
167871,3,R,262,A,,A,,R,262
167871,11,R,5,A,,A,,R,5
167899,1,R,2849,R,242,R,331,R,2276
167899,2,R,1945,R,52,R,176,R,1717
167899,3,R,1936,R,50,R,174,R,1712
167899,11,R,9,R,2,R,2,R,5
167899,12,R,904,R,190,R,155,R,559
167905,1,R,6342,R,2502,R,2786,R,1054
167905,2,R,6342,R,2502,R,2786,R,1054
167905,3,R,4909,R,1741,R,2603,R,565
167905,11,R,1433,R,761,R,183,R,489
167987,1,R,9128,R,2442,R,2168,R,4518
167987,2,R,6575,R,1658,R,1276,R,3641
167987,3,R,5738,R,884,R,1263,R,3591
167987,11,R,837,R,774,R,13,R,50
167987,12,R,2553,R,784,R,892,R,877
167996,1,R,2773,Z,0,R,260,R,2513
167996,2,R,2665,Z,0,R,223,R,2442
167996,3,R,2536,Z,0,R,223,R,2313
167996,11,R,129,Z,0,R,0,R,129
167996,12,R,108,Z,0,R,37,R,71
168005,1,R,7246,R,247,R,3684,R,3315
168005,2,R,4814,R,49,R,1881,R,2884
168005,3,R,4706,R,44,R,1880,R,2782
168005,11,R,108,R,5,R,1,R,102
168005,12,R,2432,R,198,R,1803,R,431
168032,1,R,34,A,,A,,R,34
168032,2,R,34,A,,A,,R,34
168032,3,R,34,A,,A,,R,34
168148,1,R,14945,R,986,R,4443,R,9516
168148,2,R,7715,R,261,R,1536,R,5918
168148,3,R,6954,R,33,R,1481,R,5440
168148,11,R,761,R,228,R,55,R,478
168148,12,R,7230,R,725,R,2907,R,3598
168218,1,R,2503,R,2,R,181,R,2320
168218,2,R,2503,R,2,R,181,R,2320
168218,3,R,2343,R,2,R,181,R,2160
168218,11,R,160,R,0,R,0,R,160
168227,1,R,4674,R,168,R,1218,R,3288
168227,2,R,4420,R,113,R,1120,R,3187
168227,3,R,4155,R,67,R,1115,R,2973
168227,11,R,265,R,46,R,5,R,214
168227,12,R,254,R,55,R,98,R,101
168254,1,R,3874,R,258,R,2203,R,1413
168254,2,R,2708,R,36,R,1835,R,837
168254,3,R,2616,R,30,R,1833,R,753
168254,11,R,92,R,6,R,2,R,84
168254,12,R,1166,R,222,R,368,R,576
168263,1,R,5529,R,893,R,1923,R,2713
168263,2,R,4372,R,736,R,1626,R,2010
168263,3,R,3783,R,533,R,1619,R,1631
168263,11,R,589,R,203,R,7,R,379
168263,12,R,1157,R,157,R,297,R,703
168281,1,R,1780,R,0,R,215,R,1565
168281,2,R,1780,R,0,R,215,R,1565
168281,3,R,1774,R,0,R,215,R,1559
168281,11,R,6,R,0,R,0,R,6
168342,1,R,2326,A,,A,,R,2326
168342,2,R,2270,A,,A,,R,2270
168342,3,R,2186,A,,A,,R,2186
168342,11,R,84,A,,A,,R,84
168342,12,R,56,A,,A,,R,56
168421,1,R,8009,R,1082,R,2517,R,4410
168421,2,R,5756,R,220,R,1834,R,3702
168421,3,R,5388,R,4,R,1818,R,3566
168421,11,R,368,R,216,R,16,R,136
168421,12,R,2253,R,862,R,683,R,708
168430,1,R,7785,R,739,R,3344,R,3702
168430,2,R,5813,R,469,R,2674,R,2670
168430,3,R,4697,R,365,R,2591,R,1741
168430,11,R,1116,R,104,R,83,R,929
168430,12,R,1972,R,270,R,670,R,1032
168528,1,R,1875,R,105,R,1057,R,713
168528,2,R,1786,R,49,R,1033,R,704
168528,3,R,1678,R,16,R,1027,R,635
168528,11,R,108,R,33,R,6,R,69
168528,12,R,89,R,56,R,24,R,9
168546,1,R,1479,R,0,R,567,R,912
168546,2,R,1479,R,0,R,567,R,912
168546,3,R,1432,R,0,R,566,R,866
168546,11,R,47,R,0,R,1,R,46
168555,1,R,48,A,,A,,R,48
168555,2,R,48,A,,A,,R,48
168555,3,R,48,A,,A,,R,48
168573,1,R,1154,A,,A,,R,1154
168573,2,R,1154,A,,A,,R,1154
168573,3,R,1154,A,,A,,R,1154
168591,1,R,1301,R,0,R,44,R,1257
168591,2,R,1257,A,,A,,R,1257
168591,3,R,1228,A,,A,,R,1228
168591,11,R,29,A,,A,,R,29
168591,12,R,44,R,0,R,44,R,0
168607,1,R,2798,R,319,R,796,R,1683
168607,2,R,2798,R,319,R,796,R,1683
168607,3,R,903,R,134,R,456,R,313
168607,11,R,1895,R,185,R,340,R,1370
168740,1,R,4003,R,865,R,1122,R,2016
168740,2,R,1787,R,321,R,563,R,903
168740,3,R,1393,R,136,R,546,R,711
168740,11,R,394,R,185,R,17,R,192
168740,12,R,2216,R,544,R,559,R,1113
168786,1,R,1280,R,51,R,674,R,555
168786,2,R,1168,R,22,R,634,R,512
168786,3,R,1139,R,20,R,632,R,487
168786,11,R,29,R,2,R,2,R,25
168786,12,R,112,R,29,R,40,R,43
168847,1,R,4976,R,3302,R,972,R,702
168847,2,R,4585,R,2937,R,956,R,692
168847,3,R,3721,R,2290,R,890,R,541
168847,11,R,864,R,647,R,66,R,151
168847,12,R,391,R,365,R,16,R,10
168883,1,R,2527,R,1120,R,872,R,535
168883,2,R,2527,R,1120,R,872,R,535
168883,3,R,1353,R,564,R,678,R,111
168883,11,R,1174,R,556,R,194,R,424
168892,1,R,165,A,,A,,R,165
168892,2,R,165,A,,A,,R,165
168892,3,R,165,A,,A,,R,165
169080,1,R,3678,R,385,R,558,R,2735
169080,2,R,3252,R,140,R,451,R,2661
169080,3,R,3045,R,87,R,443,R,2515
169080,11,R,207,R,53,R,8,R,146
169080,12,R,426,R,245,R,107,R,74
169099,1,R,371,R,123,R,157,R,91
169099,12,R,371,R,123,R,157,R,91
169187,1,R,142,A,,A,,R,142
169187,2,R,142,A,,A,,R,142
169187,3,R,142,A,,A,,R,142
169220,1,R,244,A,,A,,R,244
169220,12,R,244,A,,A,,R,244
169248,1,R,16725,R,4615,R,5155,R,6955
169248,2,R,11187,R,2158,R,3856,R,5173
169248,3,R,10875,R,1996,R,3855,R,5024
169248,11,R,312,R,162,R,1,R,149
169248,12,R,5538,R,2457,R,1299,R,1782
169275,1,R,9347,R,4218,R,3799,R,1330
169275,2,R,9347,R,4218,R,3799,R,1330
169275,3,R,7359,R,3228,R,3248,R,883
169275,11,R,1988,R,990,R,551,R,447
169284,1,R,418,A,,A,,R,418
169284,2,R,418,A,,A,,R,418
169284,3,R,418,A,,A,,R,418
169327,1,R,1566,R,326,R,508,R,732
169327,2,R,1167,R,178,R,406,R,583
169327,3,R,1129,R,170,R,397,R,562
169327,11,R,38,R,8,R,9,R,21
169327,12,R,399,R,148,R,102,R,149
169363,1,R,1638,R,429,R,410,R,799
169363,2,R,1201,R,149,R,371,R,681
169363,3,R,1019,R,108,R,368,R,543
169363,11,R,182,R,41,R,3,R,138
169363,12,R,437,R,280,R,39,R,118
169424,1,R,119,A,,A,,R,119
169424,12,R,119,A,,A,,R,119
169442,1,R,1548,R,67,R,552,R,929
169442,2,R,1485,R,67,R,550,R,868
169442,3,R,1330,R,7,R,539,R,784
169442,11,R,155,R,60,R,11,R,84
169442,12,R,63,R,0,R,2,R,61
169479,1,R,5996,R,3100,R,2046,R,850
169479,2,R,4662,R,1899,R,1953,R,810
169479,3,R,3855,R,1766,R,1807,R,282
169479,11,R,807,R,133,R,146,R,528
169479,12,R,1334,R,1201,R,93,R,40
169503,1,R,362,A,,A,,R,362
169503,2,R,362,A,,A,,R,362
169503,3,R,362,A,,A,,R,362
169521,1,R,10733,R,3932,R,4289,R,2512
169521,2,R,10733,R,3932,R,4289,R,2512
169521,3,R,8257,R,2422,R,3774,R,2061
169521,11,R,2476,R,1510,R,515,R,451
169576,1,R,187,A,,A,,R,187
169576,2,R,187,A,,A,,R,187
169576,3,R,187,A,,A,,R,187
169655,1,R,2319,R,0,R,50,R,2269
169655,2,R,2319,R,0,R,50,R,2269
169655,3,R,2319,R,0,R,50,R,2269
169716,1,R,5954,R,148,R,3269,R,2537
169716,2,R,3609,R,0,R,1996,R,1613
169716,3,R,2449,R,0,R,1908,R,541
169716,11,R,1160,R,0,R,88,R,1072
169716,12,R,2345,R,148,R,1273,R,924
169761,1,R,1434,R,0,R,1021,R,413
169761,2,R,1434,R,0,R,1021,R,413
169761,3,R,1434,R,0,R,1021,R,413
169798,1,R,16093,R,2916,R,9221,R,3956
169798,2,R,13287,R,1893,R,8341,R,3053
169798,3,R,12408,R,1771,R,8057,R,2580
169798,11,R,879,R,122,R,284,R,473
169798,12,R,2806,R,1023,R,880,R,903
169813,1,R,76,A,,A,,R,76
169813,2,R,76,A,,A,,R,76
169813,3,R,76,A,,A,,R,76
169910,1,R,12025,R,1890,R,4972,R,5163
169910,2,R,10861,R,1529,R,4839,R,4493
169910,3,R,9037,R,1529,R,4839,R,2669
169910,11,R,1824,R,0,R,0,R,1824
169910,12,R,1164,R,361,R,133,R,670
169974,1,R,1764,R,377,R,723,R,664
169974,2,R,1764,R,377,R,723,R,664
169974,3,R,739,R,221,R,402,R,116
169974,11,R,1025,R,156,R,321,R,548
169983,1,R,1886,R,228,R,161,R,1497
169983,2,R,1436,R,0,R,31,R,1405
169983,3,R,1417,R,0,R,31,R,1386
169983,11,R,19,R,0,R,0,R,19
169983,12,R,450,R,228,R,130,R,92
169992,1,R,1071,R,336,R,367,R,368
169992,2,R,1071,R,336,R,367,R,368
169992,3,R,610,R,177,R,309,R,124
